Age and Family Income,Family Income,,Total Citizen Population,Reported registered,,Reported not registered,,No response to registration 1,,Reported voted,,Reported did not vote,,No response to voting 2,,Reported registered,Reported voted
,,,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Percent,Percent
18 years and older,Total,"174,872","159,906","106,215",66.4,"28,102",17.6,"25,588",16.0,"70,201",43.9,"65,079",40.7,"24,626",15.4,60.7,40.1
,"Under $10,000","5,977","4,983","2,575",51.7,"1,770",35.5,638,12.8,"1,222",24.5,"3,246",65.1,516,10.3,43.1,20.4
,"$10,000 to $14,999","5,333","4,465","2,459",55.1,"1,463",32.8,543,12.2,"1,342",30.1,"2,642",59.2,481,10.8,46.1,25.2
,"$15,000 to $19,999","4,480","3,740","2,147",57.4,"1,129",30.2,463,12.4,"1,152",30.8,"2,204",58.9,384,10.3,47.9,25.7
,"$20,000 to $29,999","13,929","11,673","7,161",61.3,"3,379",28.9,"1,134",9.7,"4,108",35.2,"6,603",56.6,963,8.2,51.4,29.5
,"$30,000 to $39,999","15,231","13,222","8,559",64.7,"3,286",24.9,"1,376",10.4,"5,375",40.7,"6,587",49.8,"1,259",9.5,56.2,35.3
,"$40,000 to $49,999","11,728","10,372","7,001",67.5,"2,337",22.5,"1,034",10.0,"4,400",42.4,"5,018",48.4,955,9.2,59.7,37.5
,"$50,000 to $74,999","27,619","25,787","18,779",72.8,"4,592",17.8,"2,417",9.4,"12,368",48.0,"11,077",43.0,"2,342",9.1,68.0,44.8
,"$75,000 to $99,999","18,605","17,623","13,547",76.9,"2,376",13.5,"1,699",9.6,"9,322",52.9,"6,747",38.3,"1,553",8.8,72.8,50.1
,"$100,000 to $149,999","19,642","18,809","14,753",78.4,"2,372",12.6,"1,684",9.0,"10,429",55.4,"6,685",35.5,"1,695",9.0,75.1,53.1
,"$150,000 and over","17,773","16,935","13,460",79.5,"1,647",9.7,"1,828",10.8,"9,578",56.6,"5,536",32.7,"1,821",10.8,75.7,53.9
,Income not reported,"34,557","32,296","15,775",48.8,"3,751",11.6,"12,771",39.5,"10,905",33.8,"8,734",27.0,"12,657",39.2,45.6,31.6
18 to 24 years,Total,"21,243","19,873","8,554",43.0,"6,681",33.6,"4,638",23.3,"3,685",18.5,"11,806",59.4,"4,382",22.1,40.3,17.3
,"Under $10,000","1,282","1,155",413,35.8,544,47.1,198,17.1,140,12.2,862,74.6,153,13.2,32.2,11.0
,"$10,000 to $14,999",879,777,275,35.3,377,48.6,125,16.1,91,11.7,587,75.5,99,12.8,31.2,10.3
,"$15,000 to $19,999",669,596,211,35.5,296,49.7,89,14.9,60,10.1,468,78.4,68,11.5,31.6,9.0
,"$20,000 to $29,999","1,888","1,685",666,39.5,759,45.0,260,15.4,249,14.8,"1,214",72.0,222,13.2,35.3,13.2
,"$30,000 to $39,999","2,098","1,883",825,43.8,707,37.6,351,18.6,378,20.0,"1,204",63.9,302,16.0,39.3,18.0
,"$40,000 to $49,999","1,527","1,411",637,45.2,530,37.6,243,17.3,269,19.0,927,65.7,216,15.3,41.7,17.6
,"$50,000 to $74,999","3,009","2,830","1,315",46.5,"1,026",36.3,489,17.3,535,18.9,"1,803",63.7,493,17.4,43.7,17.8
,"$75,000 to $99,999","1,944","1,850",917,49.6,553,29.9,380,20.5,430,23.3,"1,111",60.1,309,16.7,47.2,22.1
,"$100,000 to $149,999","2,076","2,039","1,110",54.4,564,27.7,365,17.9,508,24.9,"1,157",56.8,373,18.3,53.5,24.5
,"$150,000 and over","2,091","2,061","1,159",56.3,496,24.1,405,19.7,563,27.3,"1,081",52.4,417,20.2,55.4,26.9
,Income not reported,"3,781","3,586","1,025",28.6,827,23.1,"1,734",48.3,463,12.9,"1,393",38.9,"1,730",48.2,27.1,12.2
25 to 44 years,Total,"60,660","52,788","33,446",63.4,"10,965",20.8,"8,376",15.9,"18,465",35.0,"26,385",50.0,"7,938",15.0,55.1,30.4
,"Under $10,000","2,515","1,988","1,028",51.7,738,37.1,221,11.1,375,18.8,"1,436",72.3,177,8.9,40.9,14.9
,"$10,000 to $14,999","1,935","1,466",793,54.1,510,34.8,163,11.1,313,21.3,990,67.5,164,11.2,41.0,16.2
,"$15,000 to $19,999","1,471","1,127",570,50.6,376,33.3,181,16.1,222,19.7,754,66.9,151,13.4,38.8,15.1
,"$20,000 to $29,999","4,933","3,626","2,079",57.3,"1,171",32.3,376,10.4,888,24.5,"2,432",67.1,306,8.4,42.1,18.0
