"State","Race","Total.Population","Total.Citizen.Population","Total.registered","Percent.registered..Total.","MarginError1","Percent.registered..Citizen.","MarginError2","Total.voted","Percent.voted..Total.","MarginError3","Percent.voted..Citizen.","MarginError4"
"UNITED STATES","Total","239874","219941","142166","59.3","0.3","64.6","0.3","92251","38.5","0.3","41.9","0.3"
"UNITED STATES","Male","115637","105299","66147","57.2","0.4","62.8","0.4","43009","37.2","0.4","40.8","0.4"
"UNITED STATES","Female","124237","114642","76019","61.2","0.4","66.3","0.4","49243","39.6","0.4","43.0","0.4"
"UNITED STATES","White","189331","175909","115998","61.3","0.3","65.9","0.3","76366","40.3","0.3","43.4","0.3"
"UNITED STATES","White.NonHispanic","156438","153750","104664","66.9","0.3","68.1","0.3","70351","45.0","0.4","45.8","0.4"
"UNITED STATES","Black","29668","27908","17700","59.7","1.0","63.4","1.0","11078","37.3","1.0","39.7","1.0"
"UNITED STATES","Asian","13495","9504","4642","34.4","1.5","48.8","1.8","2575","19.1","1.2","27.1","1.6"
"UNITED STATES","Hispanic","36802","25092","12862","34.9","1.1","51.3","1.4","6775","18.4","0.9","27.0","1.2"
"UNITED STATES","White.combination","192804","179103","117978","61.2","0.3","65.9","0.3","77472","40.2","0.3","43.3","0.3"
"UNITED STATES","Black.combination","31078","29222","18422","59.3","0.9","63.0","1.0","11469","36.9","0.9","39.2","1.0"
"UNITED STATES","Asian.combination","14367","10332","5166","36.0","1.4","50.0","1.7","2883","20.1","1.2","27.9","1.6"
"ALABAMA","Total","3656","3519","2366","64.7","2.4","67.2","2.4","1497","40.9","2.4","42.5","2.5"
"ALABAMA","Male","1734","1642","1063","61.3","3.5","64.7","3.5","677","39.0","3.5","41.2","3.6"
"ALABAMA","Female","1922","1877","1303","67.8","3.2","69.4","3.2","820","42.6","3.4","43.7","3.4"
"ALABAMA","White","2586","2503","1700","65.8","2.8","67.9","2.8","1045","40.4","2.9","41.8","2.9"
"ALABAMA","White.NonHispanic","2478","2473","1686","68.0","2.8","68.2","2.8","1045","42.2","3.0","42.3","3.0"
"ALABAMA","Black","922","910","596","64.6","5.7","65.4","5.7","414","44.9","5.9","45.5","6.0"
"ALABAMA","Asian","51","23","17",NA,NA,NA,NA,"9",NA,NA,NA,NA
"ALABAMA","Hispanic","136","41","17",NA,NA,NA,NA,"3",NA,NA,NA,NA
"ALABAMA","White.combination","2660","2572","1746","65.6","2.7","67.9","2.7","1071","40.2","2.8","41.6","2.9"
"ALABAMA","Black.combination","937","925","604","64.5","5.6","65.3","5.7","414","44.2","5.9","44.8","5.9"
"ALABAMA","Asian.combination","51","23","17",NA,NA,NA,NA,"9",NA,NA,NA,NA
"ALASKA","Total","521","503","336","64.6","2.5","66.8","2.5","255","49.0","2.6","50.7","2.7"
"ALASKA","Male","264","256","168","63.8","3.5","65.7","3.5","128","48.4","3.7","49.9","3.7"
"ALASKA","Female","257","247","168","65.4","3.5","68.0","3.5","127","49.6","3.7","51.5","3.8"
"ALASKA","White","340","331","234","68.9","3.0","70.7","3.0","188","55.5","3.2","56.9","3.2"
"ALASKA","White.NonHispanic","318","312","223","70.1","3.1","71.4","3.0","181","56.8","3.3","57.8","3.3"
"ALASKA","Black","18","18","9",NA,NA,NA,NA,"6",NA,NA,NA,NA
"ALASKA","Asian","28","21","8",NA,NA,NA,NA,"7",NA,NA,NA,NA
"ALASKA","Hispanic","28","24","12",NA,NA,NA,NA,"8",NA,NA,NA,NA
"ALASKA","White.combination","360","350","245","68.2","2.9","70.0","2.9","196","54.6","3.1","56.1","3.2"
"ALASKA","Black.combination","21","20","11",NA,NA,NA,NA,"8",NA,NA,NA,NA
"ALASKA","Asian.combination","32","25","11",NA,NA,NA,NA,"9",NA,NA,NA,NA
"ARIZONA","Total","4994","4397","2738","54.8","2.1","62.3","2.2","1785","35.7","2.1","40.6","2.2"
"ARIZONA","Male","2423","2133","1309","54.0","3.1","61.4","3.2","823","34.0","2.9","38.6","3.2"
"ARIZONA","Female","2571","2264","1430","55.6","3.0","63.1","3.1","961","37.4","2.9","42.5","3.1"
"ARIZONA","White","4226","3742","2386","56.5","2.3","63.8","2.4","1583","37.5","2.3","42.3","2.4"
"ARIZONA","White.NonHispanic","2743","2694","1757","64.1","2.8","65.2","2.8","1250","45.6","2.9","46.4","2.9"
"ARIZONA","Black","215","199","120","55.9","12.4","60.3","12.7","66","30.8","11.5","33.1","12.2"
"ARIZONA","Asian","189","98","39","20.4","11.2","39.3","18.8","20","10.6","8.6","20.3","15.5"
"ARIZONA","Hispanic","1580","1145","687","43.5","5.9","60.0","6.9","364","23.1","5.0","31.8","6.5"
"ARIZONA","White.combination","4315","3827","2425","56.2","2.3","63.4","2.4","1614","37.4","2.2","42.2","2.4"
"ARIZONA","Black.combination","248","229","120","48.5","11.6","52.4","12.1","66","26.7","10.3","28.8","10.9"
"ARIZONA","Asian.combination","205","115","48","23.3","11.3","41.7","17.6","25","12.0","8.7","21.5","14.7"
"ARKANSAS","Total","2189","2057","1292","59.0","2.5","62.8","2.6","798","36.5","2.5","38.8","2.6"
"ARKANSAS","Male","1058","993","592","55.9","3.7","59.6","3.7","364","34.4","3.5","36.7","3.7"
"ARKANSAS","Female","1131","1064","700","61.9","3.5","65.8","3.5","434","38.3","3.5","40.8","3.6"
"ARKANSAS","White","1763","1680","1076","61.0","2.8","64.0","2.8","661","37.5","2.8","39.3","2.9"
"ARKANSAS","White.NonHispanic","1645","1633","1058","64.3","2.8","64.8","2.8","647","39.3","2.9","39.6","2.9"
"ARKANSAS","Black","307","303","184","60.0","8.1","60.7","8.1","116","37.7","8.0","38.2","8.1"
"ARKANSAS","Asian","54","28","8",NA,NA,NA,NA,"2",NA,NA,NA,NA
"ARKANSAS","Hispanic","136","55","20",NA,NA,NA,NA,"14",NA,NA,NA,NA
"ARKANSAS","White.combination","1795","1712","1087","60.6","2.8","63.5","2.8","670","37.3","2.7","39.1","2.8"
"ARKANSAS","Black.combination","311","307","184","59.3","8.1","60.0","8.1","116","37.3","8.0","37.7","8.0"
"ARKANSAS","Asian.combination","57","31","8",NA,NA,NA,NA,"2",NA,NA,NA,NA
"CALIFORNIA","Total","29030","24455","14113","48.6","0.9","57.7","1.0","8949","30.8","0.8","36.6","0.9"
"CALIFORNIA","Male","14156","11811","6622","46.8","1.3","56.1","1.4","4240","30.0","1.2","35.9","1.3"
"CALIFORNIA","Female","14874","12645","7491","50.4","1.2","59.2","1.3","4708","31.7","1.2","37.2","1.3"
"CALIFORNIA","White","21429","18060","10753","50.2","1.0","59.5","1.1","7093","33.1","1.0","39.3","1.1"
"CALIFORNIA","White.NonHispanic","12326","11907","7830","63.5","1.3","65.8","1.3","5551","45.0","1.4","46.6","1.4"
"CALIFORNIA","Black","1846","1787","1043","56.5","4.2","58.4","4.3","535","29.0","3.9","29.9","4.0"
"CALIFORNIA","Asian","4409","3486","1628","36.9","2.8","46.7","3.2","933","21.2","2.4","26.8","2.9"
"CALIFORNIA","Hispanic","10023","6859","3294","32.9","2.2","48.0","2.9","1707","17.0","1.8","24.9","2.5"
"CALIFORNIA","White.combination","21993","18565","11107","50.5","1.0","59.8","1.1","7252","33.0","1.0","39.1","1.1"
"CALIFORNIA","Black.combination","1997","1913","1134","56.8","4.1","59.3","4.1","570","28.5","3.7","29.8","3.8"
"CALIFORNIA","Asian.combination","4598","3660","1742","37.9","2.7","47.6","3.2","986","21.5","2.3","27.0","2.8"
"COLORADO","Total","4009","3732","2654","66.2","2.3","71.1","2.3","2211","55.2","2.4","59.3","2.4"
"COLORADO","Male","1979","1849","1288","65.1","3.3","69.7","3.2","1059","53.5","3.4","57.3","3.5"
"COLORADO","Female","2030","1883","1366","67.3","3.2","72.5","3.1","1152","56.8","3.3","61.2","3.4"
"COLORADO","White","3637","3427","2453","67.4","2.4","71.6","2.3","2085","57.3","2.5","60.8","2.5"
"COLORADO","White.NonHispanic","3010","2965","2192","72.8","2.5","73.9","2.4","1888","62.7","2.7","63.7","2.7"
"COLORADO","Black","147","132","75","51.2","15.2","57.0","15.8","56","38.0","14.7","42.3","15.8"
"COLORADO","Asian","112","63","48",NA,NA,NA,NA,"40",NA,NA,NA,NA
"COLORADO","Hispanic","701","534","321","45.8","9.0","60.1","10.1","218","31.1","8.4","40.9","10.2"
"COLORADO","White.combination","3688","3478","2498","67.7","2.3","71.8","2.3","2105","57.1","2.5","60.5","2.5"
"COLORADO","Black.combination","157","142","78","49.9","14.7","55.1","15.3","57","36.5","14.1","40.4","15.1"
"COLORADO","Asian.combination","138","88","74","53.3","16.3","83.1","15.3","48","35.0","15.6","54.6","20.3"
"CONNECTICUT","Total","2783","2560","1668","59.9","2.4","65.1","2.5","1195","43.0","2.5","46.7","2.6"
"CONNECTICUT","Male","1333","1217","765","57.4","3.6","62.9","3.6","588","44.1","3.6","48.3","3.8"
"CONNECTICUT","Female","1450","1343","903","62.3","3.4","67.2","3.4","607","41.9","3.4","45.2","3.6"
"CONNECTICUT","White","2344","2198","1475","62.9","2.6","67.1","2.6","1065","45.4","2.7","48.4","2.8"
"CONNECTICUT","White.NonHispanic","2076","2014","1374","66.2","2.7","68.2","2.7","1009","48.6","2.9","50.1","2.9"
"CONNECTICUT","Black","291","246","121","41.7","9.2","49.2","10.2","83","28.4","8.4","33.5","9.6"
"CONNECTICUT","Asian","101","72","40",NA,NA,NA,NA,"28",NA,NA,NA,NA
"CONNECTICUT","Hispanic","319","220","116","36.3","11.2","52.6","13.9","68","21.3","9.5","30.8","12.9"
"CONNECTICUT","White.combination","2376","2231","1502","63.2","2.6","67.4","2.6","1083","45.6","2.7","48.5","2.8"
