"NAME","ind.01.Civilian.16","ind.02.Agriculture.Forestry.Fish.Hunt.Mining","ind.03.Construction","ind.04.Manufacturing","ind.05.Wholesale.Trade","ind.06.Retail.Trade","ind.07.Transportation.Warehousing.Util","ind.08.Information","ind.09.Finance.Insurance.RealEstate","ind.10.Professional.Scientific.Mgmt.Admin.Waste","ind.11.Education.HealthCare.Social","ind.12.Arts.Entertain.Accomodation.FoodService","ind.13.OtherServices","ind.14.PublicAdministration","work.01.Civilian.16","work.02.Private.ForProfit","work.03.Private.ForProfit.Employee","work.04.Private.ForProfit.Self.Inc","work.05.Private.NonProfit","work.06.LocalGov","work.07.StateGov","work.08.FederalGov","work.09.Self.Employed","edu.02.Total.18to24","edu.02.Total.18.to24.Male","edu.02.Total.18to24.Female","edu.03.Total.18to24.LessHS","edu.03.Total.18to24.LessHS.Male","edu.03.Total.18to24.LessHS.Female","edu.04.Total.18to24.HS","edu.04.Total.1824.HS.Male","edu.04.Total.18to24.HS.Female","edu.05.Total.18to24.AA","edu.05.Total.18to24.AA.Male","edu.05.Total.18to24.AA.Female","edu.06.Total.18to24.BA","edu.06.Total.18to24.BA.Male","edu.06.Total.18to24.BA.Female","edu.20.Total.25to34","edu.20.Total.25to34.Male","edu.20.Total.25to34.Female","edu.21.Total.25to34.HS","edu.21.Total.25to34.HS.Male","edu.21.Total.25to34.HS.Female","edu.22.Total.25to34.BA","edu.22.Total.25to34.BA.Male","edu.22.Total.25to34.BA.Female","edu.24.Total.35to44","edu.24.Total.35to44.Male","edu.24.Total.35to44.Female","edu.25.Total.35to44.HS","edu.25.Total.35to44.HS.Male","edu.25.Total.35to44.HS.Female","edu.26.Total.35to44.BA","edu.26.Total.35to44.BA.Male","edu.26.Total.35to44.BA.Female","edu.28.Total.45to64","edu.28.Total.45to64.Male","edu.28.Total.45to64.Female","edu.29.Total.45to64.HS","edu.29.Total.45to64.HS.Male","edu.29.Total.45to64.HS.Female","edu.30.Total.45to64.BA","edu.30.Total.45to64.BA.Male","edu.30.Total.45to64.BA.Female","edu.32.Total.65plus","edu.32.Total.65plus.Male","edu.32.Total.65plus.Female","edu.33.Total.65plus.HS","edu.33.Total.65plus.HS.Male","edu.33.Total.65plus.HS.Female","edu.34.Total.65plus.BA","edu.34.Total.65plus.BA.Male","edu.34.Total.65plus.BA.Female","fin.01.OccupiedHousingUnits","fin.03.LessThan5000","fin.04.5000to9999","fin.05.10000to14999","fin.06.15000to19999","fin.07.20000to24999","fin.08.25000to34999","fin.09.35000to49999","fin.10.50000to74999","fin.11.75000to99999","fin.12.100000to149999","fin.13.150000.or.more","fin.14.MedianHouseholdIncome","fin.LessThan5000","fin.5000to9999","fin.10000to14999","fin.15000to19999","fin.20000to24999","fin.25000to34999","fin.35000to49999","fin.50000to74999","fin.75000to99999","fin.100000to149999","fin.150000.or.more","race.Male","race.Female","race.Total","race.Asian","race.Asian.combination","race.Black","race.Black.combination","race.Hispanic","race.White","race.White.combination","race.White.NonHispanic"
"Alabama",2040118,34383,128389,291477,51525,241235,108227,33689,111441,196149,459777,171239,106030,106557,2040118,1498462,1442681,55781,134472,128847,110210,63965,104162,468319,235692,232627,70992,40806,30186,149612,83861,65751,212684,97919,114765,35031,13106,21925,624472,304812,319660,542689,258066,284623,161130,67938,93192,612193,297114,315079,528600,247769,280831,165594,69045,96549,1283740,620239,663501,1102622,523287,579335,305002,142350,162652,761847,329305,432542,611459,269518,341941,161150,86868,74282,1846390,4.5,5,6.9,6.4,6.3,11.3,13.8,17.8,10.7,10.5,6.8,44765,83087.55,92319.5,127400.91,118168.96,116322.57,208642.07,254801.82,328657.42,197563.73,193870.95,125554.52,1734,1922,3656,51,51,922,937,136,2586,2660,2478
"Alaska",354766,18954,25415,11461,7250,38999,27012,6916,12651,30351,83083,34319,16760,41595,354766,208677,196887,11790,35807,32085,30579,24432,23186,82518,48263,34255,12427,7815,4612,31416,18484,12932,33882,19865,14017,4793,2099,2694,118778,63933,54845,110327,59402,50925,33668,16018,17650,91656,47778,43878,86177,44976,41201,26822,12007,14815,188081,97577,90504,176033,91250,84783,57535,28433,29102,71008,35048,35960,62370,31202,31168,21391,11385,10006,250185,1.8,2.2,3.2,3.6,3.2,7.6,11.8,17.7,15,18.8,15.2,73355,4503.33,5504.07,8005.92,9006.66,8005.92,19014.06,29521.83,44282.745,37527.75,47034.78,38028.12,264,257,521,28,32,18,21,28,340,360,318
"Arizona",2937510,43075,193805,207583,69018,368099,147537,54920,242171,357395,636623,329444,138387,149453,2937510,2177404,2073252,104152,179523,187346,139265,78702,175270,669583,345832,323751,114187,67044,47143,203312,113257,90055,302777,145132,157645,49307,20399,28908,914761,471430,443331,795472,402298,393174,241047,108735,132312,845274,425605,419669,709336,351056,358280,242768,115773,126995,1656915,803659,853256,1433627,689105,744522,461798,224467,237331,1120004,515072,604932,967546,453311,514235,311836,172502,139334,2463008,4,3.5,4.8,5.2,5.6,10.7,14.5,18.8,12,12.1,8.7,51492,98520.32,86205.28,118224.384,128076.416,137928.448,263541.856,357136.16,463045.504,295560.96,298023.968,214281.696,2423,2571,4994,189,205,215,248,1580,4226,4315,2743
"Arkansas",1271063,41301,81587,177030,30505,174804,70419,20718,57546,91447,309993,97668,59802,58243,1271063,897620,861443,36177,92128,69361,101967,27214,82773,284441,144726,139715,36309,20270,16039,90153,51576,38577,137505,64632,72873,20474,8248,12226,385391,190379,195012,341615,166103,175512,93033,39462,53571,367499,182421,185078,322906,158314,164592,92184,40353,51831,756815,369413,387402,650789,310674,340115,159014,70216,88798,478114,212325,265789,382438,171211,211227,89150,48308,40842,1144663,4.1,5,7.1,6.5,6.9,12.6,15,17.7,10.4,9.3,5.5,41995,46931.183,57233.15,81271.073,74403.095,78981.747,144227.538,171699.45,202605.351,119044.952,106453.659,62956.465,1058,1131,2189,54,57,307,311,136,1763,1795,1645
"California",18045450,446614,1112236,1715871,528692,1946847,899711,523512,1089370,2390184,3750815,1902121,954804,784673,18045450,12960293,12360327,599966,1178814,1350956,729029,322124,1504234,3943137,2037703,1905434,490779,296563,194216,1166501,658547,507954,1904349,921067,983282,381508,161526,219982,5832712,2994843,2837869,5078189,2557086,2521103,1985160,920016,1065144,5190370,2601689,2588681,4220860,2085744,2135116,1801173,844384,956789,9872623,4854069,5018554,8019913,3920628,4099285,3066436,1523566,1542870,5189558,2298554,2891004,4122791,1870254,2252537,1562921,835071,727850,12896357,2.9,2.6,4.8,4.3,4.7,8.6,11.7,16.4,12.2,15.3,16.4,64500,373994.353,335305.282,619025.136,554543.351,606128.779,1109086.702,1508873.769,2115002.548,1573355.554,1973142.621,2115002.548,14156,14874,29030,4409,4598,1846,1997,10023,21429,21993,12326
"Colorado",2765115,71732,218980,190855,71314,312246,126200,81533,190157,380985,571222,289390,138360,122141,2765115,2009628,1877058,132570,216255,175392,113979,71204,178657,527949,277962,249987,70618,40123,30495,157730,91640,66090,240847,123405,117442,58754,22794,35960,827137,428665,398472,761849,390003,371846,324927,148905,176022,737989,379324,358665,663597,336371,327226,319083,149939,169144,1395155,690644,704511,1285760,633777,651983,538738,264509,274229,711572,323620,387952,636794,293904,342890,258028,141722,116306,2074735,2.7,2.6,3.7,3.8,4.6,8.6,13.2,18.3,13.4,16.1,13.1,63909,56017.845,53943.11,76765.195,78839.93,95437.81,178427.21,273865.02,379676.505,278014.49,334032.335,271790.285,1979,2030,4009,112,138,147,157,701,3637,3688,3010
"Connecticut",1807098,7149,108227,187997,46464,197043,73296,42062,167826,208216,475215,145994,78505,69104,1807098,1282453,1220926,61527,170515,134114,79113,25074,115829,352843,181858,170985,37981,24913,13068,97565,55832,41733,165295,78571,86724,52002,22542,29460,442776,223295,219481,408304,203122,205182,193704,87290,106414,432504,211062,221442,397492,190481,207011,180801,80468,100333,1034155,500881,533274,950056,455599,494457,396555,187997,208558,565283,243789,321494,476598,206978,269620,176984,93577,83407,1343703,2.9,2.7,3.9,4,4,7.2,11.3,15.9,12.5,17,18.6,71346,38967.387,36279.981,52404.417,53748.12,53748.12,96746.616,151838.439,213648.777,167962.875,228429.51,249928.758,1333,1450,2783,101,101,291,305,319,2344,2376,2076
"Delaware",447516,5106,28858,36264,7362,54829,17915,6759,43739,45324,111772,45372,20336,23880,447516,328645,312049,16596,36823,14469,39250,9605,18724,89098,44998,44100,12574,7435,5139,27340,14332,13008,39399,18622,20777,9785,4609,5176,124348,61076,63272,109417,53020,56397,40876,18161,22715,110727,53905,56822,98527,47377,51150,39092,15888,23204,256737,122021,134716,233432,107966,125466,79813,37054,42759,160824,71963,88861,138905,61775,77130,42148,23313,18835,352595,3.3,2.1,3.3,4.2,5.1,9.2,13.2,18.8,14.9,14.4,11.5,61255,11635.635,7404.495,11635.635,14808.99,17982.345,32438.74,46542.54,66287.86,52536.655,50773.68,40548.425,337,375,712,32,33,147,157,56,510,523,471
"Florida",8990221,101921,641425,461531,251822,1176106,462347,173543,709646,1164180,1873140,1128909,468618,377033,8990221,6858211,6332977,525234,548928,610017,251290,169215,552560,1774002,912229,861773,290921,172078,118843,526907,298451,228456,800421,380008,420413,155753,61692,94061,2593253,1303403,1289850,2326010,1140891,1185119,753931,325352,428579,2463472,1219998,1243474,2183771,1056467,1127304,756030,331974,424056,5392323,2596600,2795723,4777006,2262519,2514487,1525821,734538,791283,3945233,1771351,2173882,3326242,1518483,1807759,1056556,596135,460421,7463184,3.8,3.6,5.2,5.7,6.2,11.3,14.8,18.5,11.4,11.1,8.6,49426,283600.992,268674.624,388085.568,425401.488,462717.408,843339.792,1104551.232,1380689.04,850802.976,828413.424,641833.824,7335,8079,15414,374,407,2331,2401,3530,12507,12646,9134
"Georgia",4605633,51889,301380,502776,133581,550395,277731,117589,275184,543839,964170,423122,235504,228473,4605633,3389014,3211140,177874,281030,319712,222212,136911,256754,1028679,523024,505655,168766,98934,69832,327755,180073,147682,449485,210367,239118,82673,33650,49023,1383268,684248,699020,1209458,580433,629025,425539,178838,246701,1388193,669990,718203,1205987,569347,636640,462361,201731,260630,2609547,1254831,1354716,2293791,1083222,1210569,786767,374269,412498,1302759,563658,739101,1048795,461066,587729,325446,174645,150801,3656407,4.1,3.9,5.5,5,5.8,10.3,14,18.2,11.5,12.4,9.3,51244,149912.687,142599.873,201102.385,182820.35,212071.606,376609.921,511896.98,665466.074,420486.805,453394.468,340045.851,3458,3848,7306,388,413,2199,2272,508,4569,4655,4142
"Hawaii",675214,9644,53542,20047,17492,77536,38761,11272,46133,67106,132463,107685,32454,61079,675214,439563,416124,23439,51886,24307,62348,47764,49346,134483,75365,59118,8519,3963,4556,51611,33464,18147,63452,34014,29438,10901,3924,6977,216396,117051,99345,206271,110957,95314,68023,31882,36141,177777,91264,86513,164107,82768,81339,61430,27956,33474,354588,175653,178935,327356,161669,165687,111530,53590,57940,237153,106797,130356,198185,91713,106472,68211,35184,33027,445936,2.9,2.4,3.2,3.4,3.4,6.8,10.9,17.8,14.5,18.8,15.9,73486,12932.144,10702.464,14269.952,15161.824,15161.824,30323.648,48607.024,79376.608,64660.72,83835.968,70903.824,502,533,1035,482,605,19,26,64,228,352,211
