"edu.GEO.id2","edu.NAME","edu.02.Total.18to24","edu.02.Total.18.to24.Male","edu.02.Total.18to24.Female","edu.03.Total.18to24.LessHS","edu.03.Total.18to24.LessHS.Male","edu.03.Total.18to24.LessHS.Female","edu.04.Total.18to24.HS","edu.04.Total.1824.HS.Male","edu.04.Total.18to24.HS.Female","edu.05.Total.18to24.AA","edu.05.Total.18to24.AA.Male","edu.05.Total.18to24.AA.Female","edu.06.Total.18to24.BA","edu.06.Total.18to24.BA.Male","edu.06.Total.18to24.BA.Female","edu.20.Total.25to34","edu.20.Total.25to34.Male","edu.20.Total.25to34.Female","edu.21.Total.25to34.HS","edu.21.Total.25to34.HS.Male","edu.21.Total.25to34.HS.Female","edu.22.Total.25to34.BA","edu.22.Total.25to34.BA.Male","edu.22.Total.25to34.BA.Female","edu.24.Total.35to44","edu.24.Total.35to44.Male","edu.24.Total.35to44.Female","edu.25.Total.35to44.HS","edu.25.Total.35to44.HS.Male","edu.25.Total.35to44.HS.Female","edu.26.Total.35to44.BA","edu.26.Total.35to44.BA.Male","edu.26.Total.35to44.BA.Female","edu.28.Total.45to64","edu.28.Total.45to64.Male","edu.28.Total.45to64.Female","edu.29.Total.45to64.HS","edu.29.Total.45to64.HS.Male","edu.29.Total.45to64.HS.Female","edu.30.Total.45to64.BA","edu.30.Total.45to64.BA.Male","edu.30.Total.45to64.BA.Female","edu.32.Total.65plus","edu.32.Total.65plus.Male","edu.32.Total.65plus.Female","edu.33.Total.65plus.HS","edu.33.Total.65plus.HS.Male","edu.33.Total.65plus.HS.Female","edu.34.Total.65plus.BA","edu.34.Total.65plus.BA.Male","edu.34.Total.65plus.BA.Female"
"01","Alabama","468319","235692","232627","70992","40806","30186","149612","83861","65751","212684","97919","114765","35031","13106","21925","624472","304812","319660","542689","258066","284623","161130","67938","93192","612193","297114","315079","528600","247769","280831","165594","69045","96549","1283740","620239","663501","1102622","523287","579335","305002","142350","162652","761847","329305","432542","611459","269518","341941","161150","86868","74282"
"02","Alaska","82518","48263","34255","12427","7815","4612","31416","18484","12932","33882","19865","14017","4793","2099","2694","118778","63933","54845","110327","59402","50925","33668","16018","17650","91656","47778","43878","86177","44976","41201","26822","12007","14815","188081","97577","90504","176033","91250","84783","57535","28433","29102","71008","35048","35960","62370","31202","31168","21391","11385","10006"
"04","Arizona","669583","345832","323751","114187","67044","47143","203312","113257","90055","302777","145132","157645","49307","20399","28908","914761","471430","443331","795472","402298","393174","241047","108735","132312","845274","425605","419669","709336","351056","358280","242768","115773","126995","1656915","803659","853256","1433627","689105","744522","461798","224467","237331","1120004","515072","604932","967546","453311","514235","311836","172502","139334"
"05","Arkansas","284441","144726","139715","36309","20270","16039","90153","51576","38577","137505","64632","72873","20474","8248","12226","385391","190379","195012","341615","166103","175512","93033","39462","53571","367499","182421","185078","322906","158314","164592","92184","40353","51831","756815","369413","387402","650789","310674","340115","159014","70216","88798","478114","212325","265789","382438","171211","211227","89150","48308","40842"
"06","California","3943137","2037703","1905434","490779","296563","194216","1166501","658547","507954","1904349","921067","983282","381508","161526","219982","5832712","2994843","2837869","5078189","2557086","2521103","1985160","920016","1065144","5190370","2601689","2588681","4220860","2085744","2135116","1801173","844384","956789","9872623","4854069","5018554","8019913","3920628","4099285","3066436","1523566","1542870","5189558","2298554","2891004","4122791","1870254","2252537","1562921","835071","727850"
"08","Colorado","527949","277962","249987","70618","40123","30495","157730","91640","66090","240847","123405","117442","58754","22794","35960","827137","428665","398472","761849","390003","371846","324927","148905","176022","737989","379324","358665","663597","336371","327226","319083","149939","169144","1395155","690644","704511","1285760","633777","651983","538738","264509","274229","711572","323620","387952","636794","293904","342890","258028","141722","116306"
"09","Connecticut","352843","181858","170985","37981","24913","13068","97565","55832","41733","165295","78571","86724","52002","22542","29460","442776","223295","219481","408304","203122","205182","193704","87290","106414","432504","211062","221442","397492","190481","207011","180801","80468","100333","1034155","500881","533274","950056","455599","494457","396555","187997","208558","565283","243789","321494","476598","206978","269620","176984","93577","83407"
"10","Delaware","89098","44998","44100","12574","7435","5139","27340","14332","13008","39399","18622","20777","9785","4609","5176","124348","61076","63272","109417","53020","56397","40876","18161","22715","110727","53905","56822","98527","47377","51150","39092","15888","23204","256737","122021","134716","233432","107966","125466","79813","37054","42759","160824","71963","88861","138905","61775","77130","42148","23313","18835"
"11","District of Columbia","81506","37209","44297","5031","3371","1660","19290","9281","10009","37684","17871","19813","19501","6686","12815","152487","71627","80860","144158","67393","76765","108617","51576","57041","96419","48025","48394","89686","43264","46422","60511","30138","30373","147387","71997","75390","128873","62866","66007","68259","34192","34067","76591","30771","45820","61918","24812","37106","30958","14390","16568"
"12","Florida","1774002","912229","861773","290921","172078","118843","526907","298451","228456","800421","380008","420413","155753","61692","94061","2593253","1303403","1289850","2326010","1140891","1185119","753931","325352","428579","2463472","1219998","1243474","2183771","1056467","1127304","756030","331974","424056","5392323","2596600","2795723","4777006","2262519","2514487","1525821","734538","791283","3945233","1771351","2173882","3326242","1518483","1807759","1056556","596135","460421"
