"fin.GEO.id2","fin.NAME","fin.01.OccupiedHousingUnits","fin.03.LessThan5000","fin.04.5000to9999","fin.05.10000to14999","fin.06.15000to19999","fin.07.20000to24999","fin.08.25000to34999","fin.09.35000to49999","fin.10.50000to74999","fin.11.75000to99999","fin.12.100000to149999","fin.13.150000.or.more","fin.14.MedianHouseholdIncome","fin.LessThan5000","fin.5000to9999","fin.10000to14999","fin.15000to19999","fin.20000to24999","fin.25000to34999","fin.35000to49999","fin.50000to74999","fin.75000to99999","fin.100000to149999","fin.150000.or.more"
1,"Alabama",1846390,4.5,5,6.9,6.4,6.3,11.3,13.8,17.8,10.7,10.5,6.8,44765,83087.55,92319.5,127400.91,118168.96,116322.57,208642.07,254801.82,328657.42,197563.73,193870.95,125554.52
2,"Alaska",250185,1.8,2.2,3.2,3.6,3.2,7.6,11.8,17.7,15,18.8,15.2,73355,4503.33,5504.07,8005.92,9006.66,8005.92,19014.06,29521.83,44282.745,37527.75,47034.78,38028.12
4,"Arizona",2463008,4,3.5,4.8,5.2,5.6,10.7,14.5,18.8,12,12.1,8.7,51492,98520.32,86205.28,118224.384,128076.416,137928.448,263541.856,357136.16,463045.504,295560.96,298023.968,214281.696
5,"Arkansas",1144663,4.1,5,7.1,6.5,6.9,12.6,15,17.7,10.4,9.3,5.5,41995,46931.183,57233.15,81271.073,74403.095,78981.747,144227.538,171699.45,202605.351,119044.952,106453.659,62956.465
6,"California",12896357,2.9,2.6,4.8,4.3,4.7,8.6,11.7,16.4,12.2,15.3,16.4,64500,373994.353,335305.282,619025.136,554543.351,606128.779,1109086.702,1508873.769,2115002.548,1573355.554,1973142.621,2115002.548
8,"Colorado",2074735,2.7,2.6,3.7,3.8,4.6,8.6,13.2,18.3,13.4,16.1,13.1,63909,56017.845,53943.11,76765.195,78839.93,95437.81,178427.21,273865.02,379676.505,278014.49,334032.335,271790.285
9,"Connecticut",1343703,2.9,2.7,3.9,4,4,7.2,11.3,15.9,12.5,17,18.6,71346,38967.387,36279.981,52404.417,53748.12,53748.12,96746.616,151838.439,213648.777,167962.875,228429.51,249928.758
10,"Delaware",352595,3.3,2.1,3.3,4.2,5.1,9.2,13.2,18.8,14.9,14.4,11.5,61255,11635.635,7404.495,11635.635,14808.99,17982.345,32438.74,46542.54,66287.86,52536.655,50773.68,40548.425
11,"District of Columbia",281787,4.3,4.3,4.4,3.8,3.5,7.1,9.3,12.9,11.1,16,23.3,75628,12116.841,12116.841,12398.628,10707.906,9862.545,20006.877,26206.191,36350.523,31278.357,45085.92,65656.371
12,"Florida",7463184,3.8,3.6,5.2,5.7,6.2,11.3,14.8,18.5,11.4,11.1,8.6,49426,283600.992,268674.624,388085.568,425401.488,462717.408,843339.792,1104551.232,1380689.04,850802.976,828413.424,641833.824
13,"Georgia",3656407,4.1,3.9,5.5,5,5.8,10.3,14,18.2,11.5,12.4,9.3,51244,149912.687,142599.873,201102.385,182820.35,212071.606,376609.921,511896.98,665466.074,420486.805,453394.468,340045.851
15,"Hawaii",445936,2.9,2.4,3.2,3.4,3.4,6.8,10.9,17.8,14.5,18.8,15.9,73486,12932.144,10702.464,14269.952,15161.824,15161.824,30323.648,48607.024,79376.608,64660.72,83835.968,70903.824
