"","total.GEO.id2","NAME","total.01.OccupiedHousingUnits","total.14.MedianHouseholdIncome","total.LessThan5000","total.5000to9999","total.10000to14999","total.15000to19999","total.20000to24999","total.25000to34999","total.35000to49999","total.50000to74999","total.75000to99999","total.100000to149999","total.150000.or.more","perCapita.LessThan5000","perCapita.5000to9999","perCapita.10000to14999","perCapita.15000to19999","perCapita.20000to24999","perCapita.25000to34999","perCapita.35000to49999","perCapita.50000to74999","perCapita.75000to99999","perCapita.100000to149999","perCapita.150000.or.more","Pop2010","Pop2011","Pop2012","Pop2013","Pop2014","Pop2015","Pop2016.x","ATF.Region","Pop2016.y","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL"
"1",1,"Alabama",1846390,44765,83087.55,92319.5,127400.91,118168.96,116322.57,208642.07,254801.82,328657.42,197563.73,193870.95,125554.52,1711.77770338132,1901.97522597924,2624.72581185136,2434.52828925343,2396.48878473385,4298.46401071309,5249.45162370271,6771.03180448611,4070.22698359558,3994.14797455641,2586.68630733177,4785492,4799918,4815960,4829479,4843214,4853875,4863300,1,4863300,14761,1230.08333333333,303.518187239117,25.2931822699265
"2",2,"Alaska",250185,73355,4503.33,5504.07,8005.92,9006.66,8005.92,19014.06,29521.83,44282.745,37527.75,47034.78,38028.12,610.448022187611,746.103138229302,1085.24092833353,1220.89604437522,1085.24092833353,2577.44720479213,4001.82592322989,6002.73888484484,5087.06685156342,6375.79045395949,5154.89440958427,714031,722713,731089,736879,736705,737709,741894,9,741894,7284,607,981.811417803622,81.8176181503018
"3",4,"Arizona",2463008,51492,98520.32,86205.28,118224.384,128076.416,137928.448,263541.856,357136.16,463045.504,295560.96,298023.968,214281.696,1445.09542629957,1264.45849801212,1734.11451155948,1878.62405418944,2023.13359681939,3865.63026535134,5238.47092033593,6791.94850360796,4335.2862788987,4371.41366455619,3143.08255220156,6408312,6467163,6549634,6624617,6719993,6817565,6931071,9,6931071,21759,1813.25,313.934166884166,26.1611805736805
"4",5,"Arkansas",1144663,41995,46931.183,57233.15,81271.073,74403.095,78981.747,144227.538,171699.45,202605.351,119044.952,106453.659,62956.465,1576.00737847033,1921.96021764674,2729.18350905837,2498.54828294076,2652.3051003525,4843.33974846979,5765.88065294022,6803.73917046946,3997.67725270522,3574.84600482294,2114.15623941141,2921995,2939493,2950685,2958663,2966912,2977853,2988248,5,2988248,15251,1270.91666666667,510.365940176317,42.5304950146931
"5",6,"California",12896357,64500,373994.353,335305.282,619025.136,554543.351,606128.779,1109086.702,1508873.769,2115002.548,1573355.554,1973142.621,2115002.548,959.108910256312,859.890747126348,1587.49061007941,1422.12700486281,1554.41788903609,2844.25400972561,3869.50836206857,5423.92625110466,4034.87196728517,5060.12631962813,5423.92625110466,37332685,37676861,38011074,38335203,38680810,38993940,39250017,9,39250017,30579,2548.25,77.9082465110779,6.49235387592316
"6",8,"Colorado",2074735,63909,56017.845,53943.11,76765.195,78839.93,95437.81,178427.21,273865.02,379676.505,278014.49,334032.335,271790.285,1028.073147594,989.996364349779,1408.84098003622,1446.91776328045,1751.53202923422,3274.60335900312,5026.13538823734,6968.05133369268,5102.28895472579,6130.36210231979,4988.05860499312,5048644,5118360,5189867,5267603,5349648,5448819,5540545,5,5540545,20702,1725.16666666667,373.645552919433,31.1371294099528
"7",9,"Connecticut",1343703,71346,38967.387,36279.981,52404.417,53748.12,53748.12,96746.616,151838.439,213648.777,167962.875,228429.51,249928.758,1087.03827066474,1012.07011406717,1461.87905365258,1499.36313195136,1499.36313195136,2698.85363751245,4235.70084776259,5959.96844950666,4685.509787348,6372.29331079328,6972.03856357383,3579899,3589893,3593795,3596003,3591873,3584730,3576452,6,3576452,6473,539.416666666667,180.98942751084,15.08245229257
"8",10,"Delaware",352595,61255,11635.635,7404.495,11635.635,14808.99,17982.345,32438.74,46542.54,66287.86,52536.655,50773.68,40548.425,1232.48922756219,784.311326630483,1232.48922756219,1568.62265326097,1904.75607895974,3436.03057380974,4929.95691024875,7021.45378126337,5564.87560323533,5378.13481118046,4295.03821726217,899816,907924,916993,925395,934948,944076,952065,8,952065,1433,119.416666666667,150.514933329132,12.542911110761
"9",12,"Florida",7463184,49426,283600.992,268674.624,388085.568,425401.488,462717.408,843339.792,1104551.232,1380689.04,850802.976,828413.424,641833.824,1400.85056424542,1327.12158717987,1916.95340370426,2101.27584636813,2285.598289032,4165.68720420349,5455.94430285058,6819.93037856323,4202.55169273626,4091.95822713794,3170.34601381858,18849098,19096952,19344156,19582022,19888741,20244914,20612439,1,20612439,38357,3196.41666666667,186.086663494796,15.5072219578996
"10",13,"Georgia",3656407,51244,149912.687,142599.873,201102.385,182820.35,212071.606,376609.921,511896.98,665466.074,420486.805,453394.468,340045.851,1469.81897362962,1398.1204871111,1971.70837925925,1792.46216296295,2079.25610903702,3692.47205570368,5018.89405629626,6524.56227318514,4122.66297481479,4445.30616414812,3333.97962311109,9713521,9811610,9914668,9984938,10087231,10199398,10310371,1,10310371,23825,1985.41666666667,231.078008735088,19.256500727924
"11",15,"Hawaii",445936,73486,12932.144,10702.464,14269.952,15161.824,15161.824,30323.648,48607.024,79376.608,64660.72,83835.968,70903.824,907.418901917473,750.967367104116,1001.28982280549,1063.87043673083,1063.87043673083,2127.74087346166,3410.64345893119,5569.67463935552,4537.09450958736,5882.57770898224,4975.15880706476,1363945,1377864,1391820,1406481,1416349,1425157,1428557,9,1428557,1252,104.333333333333,87.6408851729402,7.30340709774502
"12",16,"Idaho",597421,48275,21507.156,21507.156,32858.155,34650.418,35845.26,72287.941,89015.729,112912.569,71690.52,69898.257,34650.418,1301.23376419083,1301.23376419083,1987.99602862488,2096.43217564078,2168.72294031805,4373.59126297473,5385.66196845649,6831.47726200185,4337.4458806361,4229.0097336202,2096.43217564078,1571010,1584143,1595911,1612011,1633532,1652828,1683140,9,1683140,11462,955.166666666667,680.989103699039,56.7490919749199
"13",17,"Illinois",4794523,59588,167808.305,158219.259,206164.489,230137.104,239726.15,436301.593,604109.898,839041.525,608904.421,704794.881,599315.375,1307.01527146057,1232.32868451996,1605.76161922298,1792.47808657449,1867.1646735151,3398.23970579748,4705.25497725805,6535.07635730284,4742.59827072835,5489.46414013439,4667.91168378775,12841578,12860012,12870798,12879505,12867544,12839047,12801539,3,12801539,24367,2030.58333333333,190.344301571866,15.8620251309888
"14",18,"Indiana",2515143,50532,82999.719,85514.862,125757.15,140848.008,140848.008,284211.159,384816.879,485422.599,314392.875,299302.017,173544.867,1255.14336810243,1293.17801562069,1901.73237591278,2129.94026102231,2129.94026102231,4297.91516956288,5819.30107029311,7340.68697102333,4754.33093978195,4526.12305467242,2624.39067875964,6490528,6516480,6537743,6569102,6595233,6612768,6633053,4,6633053,17601,1466.75,265.352922703919,22.1127435586599
"15",19,"Iowa",1247249,54736,33675.723,39911.968,63609.699,61115.201,64856.948,127219.398,175862.109,254438.796,173367.611,163389.619,91049.177,1078.65968481072,1278.41147829418,2037.46829353135,1957.56757613797,2077.41865222804,4074.9365870627,5633.00057623374,8149.87317412541,5553.09985884035,5233.49698926681,2916.3761848586,3050738,3065223,3076310,3091930,3108030,3121997,3134693,5,3134693,15442,1286.83333333333,492.616023323496,41.051335276958
"16",20,"Kansas",1111582,53906,35570.624,36682.206,52244.354,53355.936,58913.846,111158.2,162290.972,215646.908,140059.332,154509.898,92261.306,1223.73712509732,1261.97891025661,1797.36390248669,1835.60568764598,2026.81461344243,3824.17851592912,5583.30063325651,7418.90632090249,4818.46493007069,5315.60813714147,3174.06816822117,2858850,2869503,2885262,2892821,2899360,2906721,2907289,5,2907289,13432,1119.33333333333,462.011172607883,38.5009310506569
"17",21,"Kentucky",1716168,45215,63498.216,94389.24,113267.088,108118.584,102970.08,195643.152,250560.528,310626.408,190494.648,176765.304,106402.416,1435.1140925157,2133.27770509091,2559.93324610909,2443.57264401323,2327.21204191736,4421.70287964298,5662.88263533224,7020.42299311736,4305.34227754711,3995.0473386248,2404.78577664794,4348662,4369354,4384799,4400477,4413057,4424611,4436974,4,4436974,16951,1412.58333333333,382.039651347968,31.8366376123307
"18",22,"Louisiana",1737908,45727,81681.676,97322.848,112964.02,114701.928,109488.204,184218.248,224190.132,283279.004,189431.972,201597.328,137294.732,1749.46189301258,2084.46523422775,2419.46857544293,2456.69116891128,2345.02338850622,3945.59490764539,4801.7145574175,6067.28273534149,4057.26268805044,4317.82084232891,2940.58488399986,4544996,4575404,4603429,4626402,4647880,4668960,4681666,5,4681666,14627,1218.91666666667,312.431514764189,26.0359595636824
"19",23,"Maine",545226,51494,14175.876,21809.04,33258.786,34349.238,28896.978,57793.956,73605.51,106864.296,71424.606,63791.442,39256.272,1066.29388176942,1640.45212579911,2501.68949184364,2583.71209813359,2173.59906668382,4347.19813336763,5536.52592457199,8038.21541641562,5372.48071199207,4798.32246796239,2952.81382643839,1327730,1328231,1328895,1329076,1330719,1329453,1331479,6,1331479,6210,517.5,466.398643914023,38.866553659502
"20",24,"Maryland",2177934,75847,54448.35,54448.35,67515.954,69693.888,74049.756,156811.248,228683.07,372426.714,291843.156,392028.12,415985.394,908.231933268201,908.231933268201,1126.20759725257,1162.5368745833,1235.19542924475,2615.70796781242,3814.57411972644,6212.3064235545,4868.12316231756,6539.26991953105,6938.89197016906,5788584,5843603,5889651,5931129,5967295,5994983,6016447,8,6016447,7083,590.25,117.727289877232,9.81060748976929
"21",25,"Massachusetts",2559951,70628,74238.579,79358.481,125437.599,104957.991,97278.138,194556.276,261115.002,401912.307,309754.071,440311.572,468471.033,1094.27996356261,1169.74754725658,1848.95580050234,1547.08546572645,1433.88409018549,2867.76818037098,3848.84676839263,5924.20531997689,4565.78881348537,6490.21219768169,6905.28390799854,6565524,6611923,6658008,6706786,6749911,6784240,6811779,6,6811779,5880,490,86.3210623832629,7.19342186527191
