"","NAME","Pop2015","Pop2016.x","ATF.Region","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL","Category","PerCapCategory"
"1","Alabama",4853875,4863300,1,14761,1230.08333333333,303.518187239117,25.2931822699265,"Occupied Housing Units",1846390
"2","Alaska",737709,741894,9,7284,607,981.811417803622,81.8176181503018,"Occupied Housing Units",250185
"3","Arizona",6817565,6931071,9,21759,1813.25,313.934166884166,26.1611805736805,"Occupied Housing Units",2463008
"4","Arkansas",2977853,2988248,5,15251,1270.91666666667,510.365940176317,42.5304950146931,"Occupied Housing Units",1144663
"5","California",38993940,39250017,9,30579,2548.25,77.9082465110779,6.49235387592316,"Occupied Housing Units",12896357
"6","Colorado",5448819,5540545,5,20702,1725.16666666667,373.645552919433,31.1371294099528,"Occupied Housing Units",2074735
"7","Connecticut",3584730,3576452,6,6473,539.416666666667,180.98942751084,15.08245229257,"Occupied Housing Units",1343703
"8","Delaware",944076,952065,8,1433,119.416666666667,150.514933329132,12.542911110761,"Occupied Housing Units",352595
"9","Florida",20244914,20612439,1,38357,3196.41666666667,186.086663494796,15.5072219578996,"Occupied Housing Units",7463184
"10","Georgia",10199398,10310371,1,23825,1985.41666666667,231.078008735088,19.256500727924,"Occupied Housing Units",3656407
"11","Hawaii",1425157,1428557,9,1252,104.333333333333,87.6408851729402,7.30340709774502,"Occupied Housing Units",445936
"12","Idaho",1652828,1683140,9,11462,955.166666666667,680.989103699039,56.7490919749199,"Occupied Housing Units",597421
"13","Illinois",12839047,12801539,3,24367,2030.58333333333,190.344301571866,15.8620251309888,"Occupied Housing Units",4794523
"14","Indiana",6612768,6633053,4,17601,1466.75,265.352922703919,22.1127435586599,"Occupied Housing Units",2515143
"15","Iowa",3121997,3134693,5,15442,1286.83333333333,492.616023323496,41.051335276958,"Occupied Housing Units",1247249
"16","Kansas",2906721,2907289,5,13432,1119.33333333333,462.011172607883,38.5009310506569,"Occupied Housing Units",1111582
"17","Kentucky",4424611,4436974,4,16951,1412.58333333333,382.039651347968,31.8366376123307,"Occupied Housing Units",1716168
"18","Louisiana",4668960,4681666,5,14627,1218.91666666667,312.431514764189,26.0359595636824,"Occupied Housing Units",1737908
"19","Maine",1329453,1331479,6,6210,517.5,466.398643914023,38.866553659502,"Occupied Housing Units",545226
"20","Maryland",5994983,6016447,8,7083,590.25,117.727289877232,9.81060748976929,"Occupied Housing Units",2177934
"21","Massachusetts",6784240,6811779,6,5880,490,86.3210623832629,7.19342186527191,"Occupied Housing Units",2559951
"22","Michigan",9917715,9928300,4,26151,2179.25,263.398541200554,21.9498784333795,"Occupied Housing Units",3858532
"23","Minnesota",5482435,5519952,3,17391,1449.25,315.057087452934,26.2547572877445,"Occupied Housing Units",2147262
"24","Mississippi",2989390,2988726,1,11264,938.666666666667,376.882992954188,31.4069160795157,"Occupied Housing Units",1104371
"25","Missouri",6076204,6093000,5,26691,2224.25,438.060068931561,36.5050057442967,"Occupied Housing Units",2374180
"26","Montana",1032073,1042520,9,12987,1082.25,1245.73149675786,103.810958063155,"Occupied Housing Units",414804
