"","NAME","perCapita.01.OccupiedHousingUnits","perCapita.14.MedianHouseholdIncome","perCapita.LessThan5000","perCapita.5000to9999","perCapita.10000to14999","perCapita.15000to19999","perCapita.20000to24999","perCapita.25000to34999","perCapita.35000to49999","perCapita.50000to74999","perCapita.75000to99999","perCapita.100000to149999","perCapita.150000.or.more","Pop2015","Pop2016.x","ATF.Region","Pop2016.y","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL"
"1","Alabama",38039.5045195849,922.252839226391,1711.77770338132,1901.97522597924,2624.72581185136,2434.52828925343,2396.48878473385,4298.46401071309,5249.45162370271,6771.03180448611,4070.22698359558,3994.14797455641,2586.68630733177,4853875,4863300,1,4863300,14761,1230.08333333333,303.518187239117,25.2931822699265
"2","Alaska",33913.7790104228,9943.62275639853,610.448022187611,746.103138229302,1085.24092833353,1220.89604437522,1085.24092833353,2577.44720479213,4001.82592322989,6002.73888484484,5087.06685156342,6375.79045395949,5154.89440958427,737709,741894,9,741894,7284,607,981.811417803622,81.8176181503018
"3","Arizona",36127.3856574891,755.284328055545,1445.09542629957,1264.45849801212,1734.11451155948,1878.62405418944,2023.13359681939,3865.63026535134,5238.47092033593,6791.94850360796,4335.2862788987,4371.41366455619,3143.08255220156,6817565,6931071,9,6931071,21759,1813.25,313.934166884166,26.1611805736805
"4","Arkansas",38439.2043529348,1410.24422629324,1576.00737847033,1921.96021764674,2729.18350905837,2498.54828294076,2652.3051003525,4843.33974846979,5765.88065294022,6803.73917046946,3997.67725270522,3574.84600482294,2114.15623941141,2977853,2988248,5,2988248,15251,1270.91666666667,510.365940176317,42.5304950146931
"5","California",33072.7210433211,165.410317603197,959.108910256312,859.890747126348,1587.49061007941,1422.12700486281,1554.41788903609,2844.25400972561,3869.50836206857,5423.92625110466,4034.87196728517,5060.12631962813,5423.92625110466,38993940,39250017,9,39250017,30579,2548.25,77.9082465110779,6.49235387592316
"6","Colorado",38076.7832442223,1172.89636524906,1028.073147594,989.996364349779,1408.84098003622,1446.91776328045,1751.53202923422,3274.60335900312,5026.13538823734,6968.05133369268,5102.28895472579,6130.36210231979,4988.05860499312,5448819,5540545,5,5540545,20702,1725.16666666667,373.645552919433,31.1371294099528
"7","Connecticut",37484.078298784,1990.27541823234,1087.03827066474,1012.07011406717,1461.87905365258,1499.36313195136,1499.36313195136,2698.85363751245,4235.70084776259,5959.96844950666,4685.509787348,6372.29331079328,6972.03856357383,3584730,3576452,6,3576452,6473,539.416666666667,180.98942751084,15.08245229257
"8","Delaware",37348.1584109754,6488.35475110055,1232.48922756219,784.311326630483,1232.48922756219,1568.62265326097,1904.75607895974,3436.03057380974,4929.95691024875,7021.45378126337,5564.87560323533,5378.13481118046,4295.03821726217,944076,952065,8,952065,1433,119.416666666667,150.514933329132,12.542911110761
"9","Florida",36864.4885327742,244.140330751714,1400.85056424542,1327.12158717987,1916.95340370426,2101.27584636813,2285.598289032,4165.68720420349,5455.94430285058,6819.93037856323,4202.55169273626,4091.95822713794,3170.34601381858,20244914,20612439,1,20612439,38357,3196.41666666667,186.086663494796,15.5072219578996
"10","Georgia",35849.243259259,502.42180960092,1469.81897362962,1398.1204871111,1971.70837925925,1792.46216296295,2079.25610903702,3692.47205570368,5018.89405629626,6524.56227318514,4122.66297481479,4445.30616414812,3333.97962311109,10199398,10310371,1,10310371,23825,1985.41666666667,231.078008735088,19.256500727924
"11","Hawaii",31290.3069626715,5156.34417822036,907.418901917473,750.967367104116,1001.28982280549,1063.87043673083,1063.87043673083,2127.74087346166,3410.64345893119,5569.67463935552,4537.09450958736,5882.57770898224,4975.15880706476,1425157,1428557,9,1428557,1252,104.333333333333,87.6408851729402,7.30340709774502
"12","Idaho",36145.3823386341,2920.75158455689,1301.23376419083,1301.23376419083,1987.99602862488,2096.43217564078,2168.72294031805,4373.59126297473,5385.66196845649,6831.47726200185,4337.4458806361,4229.0097336202,2096.43217564078,1652828,1683140,9,1683140,11462,955.166666666667,680.989103699039,56.7490919749199
"13","Illinois",37343.293470302,464.115444082415,1307.01527146057,1232.32868451996,1605.76161922298,1792.47808657449,1867.1646735151,3398.23970579748,4705.25497725805,6535.07635730284,4742.59827072835,5489.46414013439,4667.91168378775,12839047,12801539,3,12801539,24367,2030.58333333333,190.344301571866,15.8620251309888
"14","Indiana",38034.6475182556,764.158065124922,1255.14336810243,1293.17801562069,1901.73237591278,2129.94026102231,2129.94026102231,4297.91516956288,5819.30107029311,7340.68697102333,4754.33093978195,4526.12305467242,2624.39067875964,6612768,6633053,4,6633053,17601,1466.75,265.352922703919,22.1127435586599
"15","Iowa",39950.3586966932,1753.23679042613,1078.65968481072,1278.41147829418,2037.46829353135,1957.56757613797,2077.41865222804,4074.9365870627,5633.00057623374,8149.87317412541,5553.09985884035,5233.49698926681,2916.3761848586,3121997,3134693,5,3134693,15442,1286.83333333333,492.616023323496,41.051335276958
"16","Kansas",38241.7851592912,1854.52955409205,1223.73712509732,1261.97891025661,1797.36390248669,1835.60568764598,2026.81461344243,3824.17851592912,5583.30063325651,7418.90632090249,4818.46493007069,5315.60813714147,3174.06816822117,2906721,2907289,5,2907289,13432,1119.33333333333,462.011172607883,38.5009310506569
"17","Kentucky",38786.8673652893,1021.89774423107,1435.1140925157,2133.27770509091,2559.93324610909,2443.57264401323,2327.21204191736,4421.70287964298,5662.88263533224,7020.42299311736,4305.34227754711,3995.0473386248,2404.78577664794,4424611,4436974,4,4436974,16951,1412.58333333333,382.039651347968,31.8366376123307
"18","Louisiana",37222.5934683527,979.382988931154,1749.46189301258,2084.46523422775,2419.46857544293,2456.69116891128,2345.02338850622,3945.59490764539,4801.7145574175,6067.28273534149,4057.26268805044,4317.82084232891,2940.58488399986,4668960,4681666,5,4681666,14627,1218.91666666667,312.431514764189,26.0359595636824
"19","Maine",41011.3031449777,3873.3223363293,1066.29388176942,1640.45212579911,2501.68949184364,2583.71209813359,2173.59906668382,4347.19813336763,5536.52592457199,8038.21541641562,5372.48071199207,4798.32246796239,2952.81382643839,1329453,1331479,6,1331479,6210,517.5,466.398643914023,38.866553659502
"20","Maryland",36329.277330728,1265.17456346415,908.231933268201,908.231933268201,1126.20759725257,1162.5368745833,1235.19542924475,2615.70796781242,3814.57411972644,6212.3064235545,4868.12316231756,6539.26991953105,6938.89197016906,5994983,6016447,8,6016447,7083,590.25,117.727289877232,9.81060748976929
"21","Massachusetts",37733.7918469865,1041.05986816504,1094.27996356261,1169.74754725658,1848.95580050234,1547.08546572645,1433.88409018549,2867.76818037098,3848.84676839263,5924.20531997689,4565.78881348537,6490.21219768169,6905.28390799854,6784240,6811779,6,6811779,5880,490,86.3210623832629,7.19342186527191
"22","Michigan",38905.4535243249,515.078321972349,1439.50178040002,1556.218140973,1984.17812974057,2100.89449031354,2178.70539736219,4123.97807357844,5602.38530750279,7275.31980904876,4668.65442291899,4746.46532996764,3229.15264251897,9917715,9928300,4,9928300,26151,2179.25,263.398541200554,21.9498784333795
