"NAME","ATF.Region","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL","Pop2010","Pop2011","Pop2012","Pop2013","Pop2014","Pop2015","Pop2016","Total.18to24","Total.25to34","Total.35to44","Total.45to64","Total.65plus","Total.1824.HS.Male","Total.25to34.HS","Total.35to44.HS","Total.45to64.HS","Total.65plus.HS","Total.18to24.BA","Total.25to34.BA","Total.35to44.BA","Total.45to64.BA","Total.65plus.BA","Total.18.to24.Male","Total.25to34.Male","Total.35to44.Male","Total.45to64.Male","Total.65plus.Male","Total.18to24.Female","Total.25to34.Female","Total.35to44.Female","Total.45to64.Female","Total.65plus.Female","total.pop","total.HS","total.BA","total.male","total.female","pop.err.2015","pop.err.2016","perCap.pop","perCap.HS","perCap.BA","perCap.male","perCap.female"
"California",9,30579,2548.25,77.9082465110779,6.49235387592316,37332685,37676861,38011074,38335203,38680810,38993940,39250017,3943137,5832712,5190370,9872623,5189558,658547,5078189,4220860,8019913,4122791,381508,1985160,1801173,3066436,1562921,2037703,2994843,2601689,4854069,2298554,1905434,2837869,2588681,5018554,2891004,30028400,22100300,8797198,14786858,15241542,8965540,9221617,77007.8632731137,56676.2425135803,22560.4234914451,37920.9128392771,39086.9504338366
"Texas",5,75956,6329.66666666667,272.609199803206,22.7174333169338,25244310,25646389,26071655,26473525,26944751,27429639,27862596,2787469,3977864,3725435,6548055,3221507,498979,3447694,3071942,5381499,2500584,220899,1170897,1143876,1835358,805243,1434799,2019364,1857740,3210846,1428111,1352670,1958500,1867695,3337209,1793396,20260330,14900698,5176273,9950860,10309470,7169309,7602266,73862.9115753219,54323.3470918083,18871.0941474658,36277.7650846954,37585.1464906264
"Florida",1,38357,3196.41666666667,186.086663494796,15.5072219578996,18849098,19096952,19344156,19582022,19888741,20244914,20612439,1774002,2593253,2463472,5392323,3945233,298451,2326010,2183771,4777006,3326242,155753,753931,756030,1525821,1056556,912229,1303403,1219998,2596600,1771351,861773,1289850,1243474,2795723,2173882,16168283,12911480,4248091,7803581,8364702,4076631,4444156,79863.4313783699,63776.4131771565,20983.4973860595,38545.8836723139,41317.5477060559
"New York",6,19935,1661.25,100.960791204423,8.41339926703529,19402640,19519529,19602769,19673546,19718515,19747183,19745289,1941151,2875580,2498772,5304674,2962447,283316,2582494,2189035,4608622,2345455,305770,1267773,991369,1720202,799119,974775,1432316,1226428,2562161,1261783,966376,1443264,1272344,2742513,1700664,15582624,12008922,5084233,7457463,8125161,4164559,4162665,78910.6172763984,60813.3423384996,25746.6242147044,37764.6928171983,41145.9244592001
"Illinois",3,24367,2030.58333333333,190.344301571866,15.8620251309888,12841578,12860012,12870798,12879505,12867544,12839047,12801539,1237872,1773212,1672605,3387896,1828225,195374,1621054,1488042,3033421,1527819,155174,709146,625162,1074577,444655,628615,889312,834894,1657588,791259,609257,883900,837711,1730308,1036966,9899810,7865710,3008714,4801668,5098142,2939237,2901729,77107.046963844,61263.9707604466,23434.091330922,37398.944018197,39708.102945647
"Pennsylvania",8,30633,2552.75,239.615582545585,19.9679652121321,12712343,12744293,12771854,12781338,12790565,12791904,12784227,1214756,1648641,1501855,3564038,2181193,220722,1518212,1375299,3254457,1830609,142774,623873,535516,1009039,472595,618005,830794,746937,1746097,942140,596751,817847,754918,1817941,1239053,10110483,8199299,2783797,4883973,5226510,2681421,2673744,79038.1400610886,64097.5651474558,21762.1786404901,38180.1880314299,40857.9520296588
"Ohio",4,29632,2469.33333333333,255.132153926863,21.2610128272386,11540983,11544824,11550839,11570022,11594408,11605090,11614373,1087145,1486363,1400811,3169742,1839554,200145,1367228,1281114,2891451,1543403,105960,476381,446560,820319,371856,551057,743574,695494,1549113,798960,536088,742789,705317,1620629,1040594,8983615,7283341,2221076,4338198,4645417,2621475,2630758,77410.9894882332,62759.8838096042,19138.8089191898,37381.8557202055,40029.1337680277
"Georgia",1,23825,1985.41666666667,231.078008735088,19.256500727924,9713521,9811610,9914668,9984938,10087231,10199398,10310371,1028679,1383268,1388193,2609547,1302759,180073,1209458,1205987,2293791,1048795,82673,425539,462361,786767,325446,523024,684248,669990,1254831,563658,505655,699020,718203,1354716,739101,7712446,5938104,2082786,3695751,4016695,2486952,2597925,75616.6785529891,58220.1420123031,20420.6758085134,36234.991516166,39381.6870368232
"North Carolina",1,28769,2397.41666666667,283.528147035298,23.6273455862749,9558915,9650963,9746175,9841590,9934399,10035186,10146788,992108,1298130,1312886,2636083,1515545,181300,1143191,1149848,2330457,1229729,93967,416402,435224,770394,369037,522805,635979,641272,1265490,658879,469303,662151,671614,1370593,856666,7754752,6034525,2085024,3724425,4030327,2280434,2392036,77275.6180104684,60133.6636909371,20777.1335777932,37113.6618693465,40161.9561411218
"Michigan",4,26151,2179.25,263.398541200554,21.9498784333795,9877495,9876213,9887238,9898982,9915767,9917715,9928300,986405,1221558,1175407,2760741,1570641,159798,1114078,1072519,2529571,1349279,95749,385851,378272,738421,367929,502730,614827,583225,1351928,695418,483675,606731,592182,1408813,875223,7714752,6225245,1966222,3748128,3966624,2202963,2213548,77787.5952273281,62768.9442578255,19825.3529164732,37792.2535584053,39995.3416689227
