"NAME","POPESTIMATE2016","Pop100k","OtherWeapon","DestructiveDevice","MachineGun","Silencer","Rifle","Shotgun","Total","OtherWeapon.per100k","DestructiveDevice.per100k","MachineGun.per100k","Silencer.per100k","Rifle.per100k","Shotgun.per100k","Total.per100k"
"California",39250017,392.50017,3884,256420,29516,11702,9472,13423,324417,9.89553711530876,653.299080099762,75.1999674293135,29.8139998257835,24.1324736241516,34.198711302469,826.539769396788
"Texas",27862596,278.62596,6740,224498,34848,165499,29509,7487,468581,24.1901364826163,805.732531168309,125.070901505373,593.982699960908,105.909011493401,26.8711501254226,1681.75643073603
"Florida",20612439,206.12439,3448,151672,34373,61015,18409,8310,277227,16.7277632695481,735.827526281582,166.758528672905,296.010578854836,89.3101490803684,40.3154619402391,1344.95000809948
"New York",19745289,197.45289,1632,41055,12210,3466,4594,7449,70406,8.26526266594528,207.923013940186,61.8375350191127,17.5535541667686,23.2663092447014,37.725454410923,356.571129447637
"Illinois",12801539,128.01539,979,101572,30563,1717,2278,1716,138825,7.64751800545231,793.435851736264,238.744732176342,13.4124498624736,17.7947354611035,13.4046383016917,1084.43992554333
"Pennsylvania",12784227,127.84227,2115,152262,17989,29742,7779,12835,222722,16.5438238854801,1191.01452125342,140.71245762454,232.646056738511,60.8484189149645,100.397153461058,1742.16243187797
"Ohio",11614373,116.14373,1872,78639,19952,30714,6137,5920,143234,16.1179600482953,677.083472349304,171.787146839524,264.448197074435,52.8397012908058,50.9713266484553,1233.24780425082
"Georgia",10310371,103.10371,1929,66433,28497,49357,8132,11175,165523,18.7093170556132,644.331809204538,276.391606082846,478.712162734008,78.8720405890341,108.386012491694,1605.40294815773
"North Carolina",10146788,101.46788,922,84705,11947,24346,6697,2922,131539,9.08661933214728,834.796193632901,117.741693233366,239.937998113295,66.0011818518333,28.7972903346359,1296.36097649818
"Michigan",9928300,99.283,1155,24561,12913,10146,2203,1244,52222,11.6334115608916,247.383741426025,130.062548472548,102.192721815417,22.1890958170079,12.5298389452374,525.991358037126
"New Jersey",8944469,89.44469,426,42674,7730,1130,1144,2568,55672,4.76271984396167,477.099311317419,86.4221229901965,12.6335056893819,12.7900269988079,28.7104801861351,622.418167025902
