"NAME","ATF.Region","Pop2016","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL"
"California",9,39250017,30579,2548.25,77.9082465110779,6.49235387592316
"Texas",5,27862596,75956,6329.66666666667,272.609199803206,22.7174333169338
"Florida",1,20612439,38357,3196.41666666667,186.086663494796,15.5072219578996
"New York",6,19745289,19935,1661.25,100.960791204423,8.41339926703529
"Illinois",3,12801539,24367,2030.58333333333,190.344301571866,15.8620251309888
"Pennsylvania",8,12784227,30633,2552.75,239.615582545585,19.9679652121321
"Ohio",4,11614373,29632,2469.33333333333,255.132153926863,21.2610128272386
"Georgia",1,10310371,23825,1985.41666666667,231.078008735088,19.256500727924
"North Carolina",1,10146788,28769,2397.41666666667,283.528147035298,23.6273455862749
"Michigan",4,9928300,26151,2179.25,263.398541200554,21.9498784333795
"New Jersey",8,8944469,3957,329.75,44.2396300998975,3.68663584165812
"Virginia",1,8411808,20580,1715,244.65608344841,20.3880069540341
"Washington",9,7288000,14427,1202.25,197.955543358946,16.4962952799122
"Arizona",9,6931071,21759,1813.25,313.934166884166,26.1611805736805
"Massachusetts",6,6811779,5880,490,86.3210623832629,7.19342186527191
"Tennessee",1,6651194,18427,1535.58333333333,277.048000704836,23.0873333920697
"Indiana",4,6633053,17601,1466.75,265.352922703919,22.1127435586599
"Missouri",5,6093000,26691,2224.25,438.060068931561,36.5050057442967
"Maryland",8,6016447,7083,590.25,117.727289877232,9.81060748976929
"Wisconsin",3,5778708,18875,1572.91666666667,326.63010486081,27.2191754050675
"Colorado",5,5540545,20702,1725.16666666667,373.645552919433,31.1371294099528
"Minnesota",3,5519952,17391,1449.25,315.057087452934,26.2547572877445
"South Carolina",1,4961119,13354,1112.83333333333,269.173144203959,22.4310953503299
"Alabama",1,4863300,14761,1230.08333333333,303.518187239117,25.2931822699265
"Louisiana",5,4681666,14627,1218.91666666667,312.431514764189,26.0359595636824
"Kentucky",4,4436974,16951,1412.58333333333,382.039651347968,31.8366376123307
"Oregon",9,4093465,17350,1445.83333333333,423.846301360828,35.3205251134023
"Oklahoma",5,3923561,18364,1530.33333333333,468.044207800006,39.0036839833339
"Connecticut",6,3576452,6473,539.416666666667,180.98942751084,15.08245229257
"Iowa",5,3134693,15442,1286.83333333333,492.616023323496,41.051335276958
"Utah",9,3051217,11105,925.416666666667,363.953137387475,30.3294281156229
"Mississippi",1,2988726,11264,938.666666666667,376.882992954188,31.4069160795157
"Arkansas",5,2988248,15251,1270.91666666667,510.365940176317,42.5304950146931
"Nevada",9,2940058,7452,621,253.464387437255,21.1220322864379
"Kansas",5,2907289,13432,1119.33333333333,462.011172607883,38.5009310506569
"New Mexico",5,2081015,8291,690.916666666667,398.411352152675,33.200946012723
"Nebraska",5,1907116,8228,685.666666666667,431.436787274607,35.9530656062173
"West Virginia",4,1831102,10736,894.666666666667,586.313596948723,48.8594664123936
"Idaho",9,1683140,11462,955.166666666667,680.989103699039,56.7490919749199
"Hawaii",9,1428557,1252,104.333333333333,87.6408851729402,7.30340709774502
"New Hampshire",6,1334795,5961,496.75,446.585430721571,37.215452560131
"Maine",6,1331479,6210,517.5,466.398643914023,38.866553659502
"Rhode Island",6,1056426,1087,90.5833333333333,102.894097646215,8.57450813718456
"Montana",9,1042520,12987,1082.25,1245.73149675786,103.810958063155
"Delaware",8,952065,1433,119.416666666667,150.514933329132,12.542911110761
"South Dakota",3,865454,6194,516.166666666667,715.6937283784,59.6411440315334
"North Dakota",3,757952,4952,412.666666666667,653.339525458077,54.4449604548397
"Alaska",9,741894,7284,607,981.811417803622,81.8176181503018
"Vermont",6,624594,3724,310.333333333333,596.227309260095,49.6856091050079
"Wyoming",5,585501,7358,613.166666666667,1256.70152570192,104.725127141827
