"State","Male","Female","Total","Asian","Asian.combination","Black","Black.combination","Hispanic","White","White.combination","White.NonHispanic"
"ALABAMA",47428.8840262582,52571.1159737418,1e+05,1394.96717724289,1394.96717724289,25218.818380744,25629.102844639,3719.9124726477,70733.0415754923,72757.1115973742,67778.9934354486
"ALASKA",50671.7850287908,49328.2149712092,1e+05,5374.2802303263,6142.03454894434,3454.89443378119,4030.71017274472,5374.2802303263,65259.1170825336,69097.8886756238,61036.4683301344
"ARIZONA",48518.2218662395,51481.7781337605,1e+05,3784.54144973969,4104.92591109331,4305.16619943933,4965.95915098118,31637.9655586704,84621.545855026,86403.6844213056,54925.911093312
"ARKANSAS",48332.5719506624,51667.4280493376,1e+05,2466.87985381453,2603.928734582,14024.6687985381,14207.4006395614,6212.88259479214,80539.0589310187,82000.9136592051,75148.4696208314
"CALIFORNIA",48763.3482604203,51236.6517395797,1e+05,15187.7368239752,15838.787461247,6358.93902859111,6879.09059593524,34526.3520496039,73816.7413021013,75759.5590768171,42459.5246296934
"COLORADO",49363.9311549015,50636.0688450985,1e+05,2793.71414317785,3442.25492641557,3666.74981292093,3916.18857570466,17485.6572711399,90720.878024445,91993.0157146421,75081.0675979047
"CONNECTICUT",47897.951850521,52102.048149479,1e+05,3629.17714696371,3629.17714696371,10456.3420768954,10959.3963348904,11462.4505928854,84225.6557671577,85375.4940711462,74595.759971254
"DELAWARE",47331.4606741573,52668.5393258427,1e+05,4494.38202247191,4634.83146067416,20646.0674157303,22050.5617977528,7865.16853932584,71629.2134831461,73455.0561797753,66151.6853932584
"FLORIDA",47586.6095757104,52413.3904242896,1e+05,2426.3656416245,2640.45672765019,15122.6158038147,15576.7484105359,22901.2585960815,81140.5216037369,82042.2992085117,59257.8175684443
"GEORGIA",47330.9608540925,52669.0391459075,1e+05,5310.7035313441,5652.88803722967,30098.549137695,31097.7278948809,6953.18915959485,62537.6402956474,63714.7549958938,56693.1289351218
"HAWAII",48502.4154589372,51497.5845410628,1e+05,46570.0483091787,58454.1062801932,1835.74879227053,2512.07729468599,6183.57487922705,22028.9855072464,34009.6618357488,20386.4734299517
"IDAHO",49492.385786802,50507.614213198,1e+05,1692.04737732657,1861.25211505922,846.023688663283,1269.03553299492,12944.1624365482,93908.6294416244,95346.8697123519,81472.0812182741
"ILLINOIS",48314.0309521369,51675.7199959004,1e+05,6313.41600901917,6754.12524341498,13815.7220457108,14215.4350722558,13487.7523829046,78384.7494106795,79317.4131392846,65409.4496259096
"INDIANA",47974.7608385915,52025.2391614085,1e+05,1933.64543049054,2015.0620801954,8039.89415835538,8548.74821901079,6391.20700183188,88845.9189904336,89456.54386322,82678.60777529
"IOWA",49400.6849315068,50599.3150684932,1e+05,2311.64383561644,2568.49315068493,2953.76712328767,3595.8904109589,3467.46575342466,92936.6438356164,94049.6575342466,89854.4520547945
"KANSAS",48800,51200,1e+05,3576.47058823529,3952.94117647059,6070.58823529412,6541.17647058824,10164.7058823529,87200,89035.2941176471,78729.4117647059
"KENTUCKY",48058.9828468252,51910.9238639783,1e+05,1594.94432741499,1594.94432741499,8155.28137225399,8877.52031297021,3400.54167920554,88564.5501053265,89828.4682515799,85525.1278964791
"LOUISIANA",47681.1594202899,52318.8405797101,1e+05,2376.8115942029,2463.76811594203,30202.8985507246,31072.4637681159,4782.60869565217,65217.3913043478,66086.9565217391,60695.652173913
"MAINE",48256.3619227144,51743.6380772856,1e+05,1036.75777568332,1225.25918944392,848.256361922714,1790.76343072573,942.507068803016,95098.9632422243,97643.7323279925,94156.4561734213
"MARYLAND",47005.7243505064,52994.2756494936,1e+05,7551.73932188463,8036.10744165566,29172.1708498459,29788.6393659181,7309.55526199912,60590.048436812,62175.2531924262,55217.965653897
