"REGION","DIVISION","NAME","POPESTIMATE2015","NPOPCHG_2015","BIRTHS2015","DEATHS2015","NATURALINC2015","INTERNATIONALMIG2015","DOMESTICMIG2015","NETMIG2015","RESIDUAL2015","RBIRTH2015","RDEATH2015","RNATURALINC2015","RINTERNATIONALMIG2015","RDOMESTICMIG2015","RNETMIG2015"
"3","6","Alabama",4853875,10661,59034,51407,7627,5110,-3114,1996,1038,12.175612702,10.602563305,1.5730493966,1.0539245334,-0.642254598,0.4116699352
"4","9","Alaska",737709,1004,11314,4315,6999,2527,-7882,-5355,-640,15.347114176,5.8531728538,9.4939413218,3.4278025032,-10.69170531,-7.263902812
"4","8","Arizona",6817565,97572,87258,54576,32682,15414,48341,63755,1135,12.891246708,8.0629017434,4.8283449644,2.2772201604,7.1417607223,9.4189808827
"3","7","Arkansas",2977853,10941,38212,29955,8257,3469,-963,2506,178,12.855680586,10.077774311,2.7779062755,1.167077252,-0.323982529,0.8430947228
"4","9","California",38993940,313130,503303,262984,240319,148098,-77603,70495,2316,12.959243512,6.7714154214,6.1878280909,3.8132855272,-1.998152553,1.8151329744
"4","8","Colorado",5448819,99171,66427,36381,30046,11505,56122,67627,1498,12.303042645,6.7381786692,5.5648639756,2.130858019,10.394438396,12.525296415
"1","1","Connecticut",3584730,-7143,36150,30025,6125,17439,-28939,-11500,-1768,10.074404283,8.3674685642,1.7069357188,4.8599595101,-8.064818411,-3.204858901
"3","5","Delaware",944076,9128,10882,8569,2313,2658,3989,6647,168,11.582608844,9.1206924446,2.4619163992,2.8291283134,4.2458212349,7.0749495483
"3","5","Florida",20244914,356173,221011,195790,25221,121235,207537,328772,2180,11.013748935,9.7568985431,1.2568503915,6.0415628729,10.342292522,16.383855395
"3","5","Georgia",10199398,112167,131318,78843,52475,25469,33156,58625,1067,12.946261303,7.7729030289,5.1733582746,2.510914948,3.2687540153,5.7796689632
"4","9","Hawaii",1425157,8808,18307,11864,6443,8596,-6759,1837,528,12.885420619,8.3505014594,4.5349191591,6.0503127567,-4.757336427,1.2929763302
"4","8","Idaho",1652828,19296,23001,12348,10653,1848,6748,8596,47,13.997857812,7.5146971117,6.4831607006,1.1246485473,4.1066712107,5.231319758
"2","3","Illinois",12839047,-28497,157493,107022,50471,32005,-105619,-73614,-5354,12.253122166,8.3264249235,3.9266972427,2.4900228895,-8.217270038,-5.727247148
"2","3","Indiana",6612768,17535,83662,60852,22810,11258,-15870,-4612,-663,12.668381839,9.2144148081,3.453967031,1.7047242804,-2.403088855,-0.698364575
"2","4","Iowa",3121997,13967,39563,28486,11077,6441,-3689,2752,138,12.700747525,9.1447436745,3.5560038504,2.0677277964,-1.18426453,0.8834632659
"2","4","Kansas",2906721,7361,38717,25018,13699,6415,-13011,-6596,258,13.336706808,8.61786117,4.7188456379,2.2097521547,-4.481852733,-2.272100579
"3","6","Kentucky",4424611,11554,55686,44681,11005,7168,-6917,251,298,12.601966944,10.11149095,2.4904759943,1.622147381,-1.565345066,0.0568023148
"3","7","Louisiana",4668960,21080,63995,44002,19993,7660,-7238,422,665,13.737490394,9.4456918869,4.2917985068,1.6443343451,-1.553745691,0.0905886545
"1","1","Maine",1329453,-1266,12602,13656,-1054,1823,-1738,85,-297,9.4745753282,10.267005291,-0.792429963,1.3705880672,-1.306682425,0.0639056422
"3","5","Maryland",5994983,27688,73859,48446,25413,27472,-24906,2566,-291,12.348651319,8.099795039,4.2488562797,4.5931050925,-4.164089816,0.4290152762
"1","1","Massachusetts",6784240,34329,71945,56119,15826,41526,-22087,19439,-936,10.631623661,8.2929472266,2.3386764342,6.1364765326,-3.26389147,2.8725850628
"2","3","Michigan",9917715,1948,113735,94319,19416,22969,-38770,-15801,-1667,11.468989661,9.5110883707,1.9579012904,2.316184319,-3.909550527,-1.593366208
"2","4","Minnesota",5482435,29326,69466,41577,27889,13853,-12241,1612,-175,12.704626308,7.6040112865,5.100615022,2.5335730897,-2.238754652,0.2948184379
